Latitude,Longitude 
-34.67448,19.41784
-34.67741,19.44967
-34.67801,19.4011
-34.68952,19.39391
-34.6954,19.3949
-34.69175,19.40804
-34.69203,19.41544
-34.68826,19.41938
-34.68535,19.41959
-34.6818,19.4254
-34.67957,19.42957
-34.67247,19.43471
-34.67565,19.42974
-34.67625,19.44572
-34.67841,19.42428
-34.67059,19.42266
-34.66531,19.43738
